AtomicNumber,AtomicSymbol,Element,AtomTup,OrbitalGroup,Protons,Neutrons,GroupNumber,Period,SlotNumber,SlotP,SlotN,SlotOrien,AlphaType,SlotX,SlotY,SlotZ,CanBind,SlotLayout,SL1,SL2,SL3,SL4
135,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,3,0,0,V,1,0,0,0,N,,,,,
136,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
137,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
138,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,6,0,0,V,0,0,0,0,N,- 10,| 6,E 1,| 7,- 12
139,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
140,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
141,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,9,0,0,V,0,0,0,0,N,,,,,
142,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,10,0,0,H,0,0,0,0,N,,,| 15,,
143,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,11,0,0,H,0,0,0,0,N,,,,,
144,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,12,0,0,H,0,0,0,0,N,,,,,
145,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,13,0,0,H,0,0,0,0,N,,,,,
146,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,14,0,0,V,0,0,0,0,Y,,,,,
147,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,15,0,0,V,0,0,0,0,Y,,,,,
148,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,16,0,0,H,0,0,0,0,N,,,,,
149,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,17,0,0,H,0,0,0,0,N,,,,,
150,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,18,0,0,H,0,0,0,0,N,,,,,
151,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,19,0,0,H,0,0,0,0,N,,,,,
152,9,F,fluorine,"(' 9 fluorine F ', 9)",[He],9,10,17,2,1,0,0,H,6,0,0,0,,,,,,
153,9,F,fluorine,"(' 9 fluorine F ', 9)",[He],9,10,17,2,2,0,0,V,1,0,0,0,N,,,| 14,,
154,9,F,fluorine,"(' 9 fluorine F ', 9)",[He],9,10,17,2,3,0,0,V,2,0,0,0,N,,,,,
155,9,F,fluorine,"(' 9 fluorine F ', 9)",[He],9,10,17,2,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
156,9,F,fluorine,"(' 9 fluorine F ', 9)",[He],9,10,17,2,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
157,9,F,fluorine,"(' 9 fluorine F ', 9)",[He],9,10,17,2,6,0,0,V,0,0,0,0,N,- 10,| 6,E 1,| 7,- 12
158,9,F,fluorine,"(' 9 fluorine F ', 9)",[He],9,10,17,2,7,0,0,V,0,0,0,0,N,,- 17,|| 3,- 19,
